Id	Fontes	Citações
307888488	Höglund 2021	SENSORS,SENSORS,SENSORS,JOURNAL OF NEUROENGINEERING AND REHABILITATION,SENSORS
307888490	Mahon 2017	MEDICAL ENGINEERING & PHYSICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,CLINICAL BIOMECHANICS,PLOS ONE
307888762	Fayad 2006	ARCHIVES OF REHABILITATION,JOURNAL OF HAND THERAPY,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,GAIT & POSTURE,JOURNAL OF REHABILITATION AND ASSISTIVE TECHNOLOGIES ENGINEERING,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,PHYSICAL THERAPY,2020 8TH IEEE RAS/EMBS INTERNATIONAL CONFERENCE FOR BIOMEDICAL ROBOTICS AND BIOMECHATRONICS (BIOROB),MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,INTERNATIONAL JOURNAL OF SPORTS PHYSICAL THERAPY,MEDICAL ENGINEERING & PHYSICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,MUSCULOSKELETAL SCIENCE AND PRACTICE,MOTOR CONTROL,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,SPRINGERPLUS,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,PRESSE MEDICALE,JOURNAL OF ATHLETIC TRAINING,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC SCIENCE,MANUAL THERAPY,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,2015 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),IRANIAN JOURNAL OF RADIOLOGY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,MANUAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,ACTA ORTOPEDICA BRASILEIRA,DISABILITY AND REHABILITATION,JOURNAL OF BIOMECHANICS,JOURNAL OF SPORT REHABILITATION,JOURNAL OF BIOMECHANICS,HUMAN MOVEMENT SCIENCE,INTERNATIONAL JOURNAL OF OSTEOPATHIC MEDICINE,JOURNAL OF APPLIED BIOMECHANICS,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,JOURNAL OF SPORT REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PHYSICAL THERAPY IN SPORT,CLINICAL BIOMECHANICS,JOURNAL OF REHABILITATION MEDICINE,CLINICAL BIOMECHANICS,BRAIN RESEARCH,JOURNAL OF BIOMECHANICS
307888812	Bourne 2009	JOURNAL OF BIOMECHANICS,MEDICAL ENGINEERING & PHYSICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,MEDICAL ENGINEERING & PHYSICS,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,MULTIBODY SYSTEM DYNAMICS,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,ANNALS OF BIOMEDICAL ENGINEERING
307888965	Cutti 2008	SENSORS,JOURNAL OF BIOMECHANICS,SENSORS,SENSORS,UNMANNED SYSTEMS,SPORTS BIOMECHANICS,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,MEDICAL ENGINEERING & PHYSICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,APPLIED BIONICS AND BIOMECHANICS,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,CLINICAL BIOMECHANICS,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,PLOS ONE,SENSORS,APPLIED ERGONOMICS,MOTOR CONTROL,SENSORS,IEEE SENSORS JOURNAL,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,JOURNAL OF BIOMECHANICS,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,JOURNAL OF BIOMECHANICS,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,SENSORS,SENSORS,2020 IEEE INTERNATIONAL SYMPOSIUM ON MEDICAL MEASUREMENTS AND APPLICATIONS (MEMEA),INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,BMC MUSCULOSKELETAL DISORDERS,BMC MUSCULOSKELETAL DISORDERS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,SCIENTIFIC REPORTS,ACM TRANSACTIONS ON SENSOR NETWORKS,JOURNAL OF SPORTS SCIENCE AND MEDICINE,JOURNAL OF EXERCISE REHABILITATION,MEASUREMENT,DISABILITY AND REHABILITATION,SENSORS,SENSORS,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,JOURNAL OF SPORTS SCIENCES,OPERATIVE NEUROSURGERY,ELECTRONICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,2019 IEEE 8TH INTERNATIONAL WORKSHOP ON ADVANCES IN SENSORS AND INTERFACES (IWASI),BIOINFORMATICS AND BIOMEDICAL ENGINEERING (IWBBIO 2019), PT II,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,HUMAN FACTORS,JOURNAL OF BIOMECHANICS,2018 5TH IEEE INTERNATIONAL SYMPOSIUM ON INERTIAL SENSORS & SYSTEMS (INERTIAL 2018),MOBICOM'18: PROCEEDINGS OF THE 24TH ANNUAL INTERNATIONAL CONFERENCE ON MOBILE COMPUTING AND NETWORKING,IISE TRANSACTIONS ON OCCUPATIONAL ERGONOMICS & HUMAN FACTORS,SENSORS AND SMART STRUCTURES TECHNOLOGIES FOR CIVIL, MECHANICAL, AND AEROSPACE SYSTEMS 2018,2018 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC),SPORTS MEDICINE-OPEN,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,WORLD NEUROSURGERY,JOURNAL OF APPLIED BIOMECHANICS,SENSORS,GAIT & POSTURE,SENSORS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,BIOMEDICAL ENGINEERING ONLINE,PLOS ONE,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,SENSORS,BIOMEDICAL ENGINEERING ONLINE,2017 NINTH INTERNATIONAL CONFERENCE ON UBIQUITOUS AND FUTURE NETWORKS (ICUFN 2017),2017 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL TECHNOLOGY (ICIT),SENSORS,IEEE SENSORS JOURNAL,PLOS ONE,GAIT & POSTURE,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,BMC MUSCULOSKELETAL DISORDERS,SENSORS,EXPERT REVIEW OF MEDICAL DEVICES,JOURNAL OF SPORTS SCIENCES,JOURNAL OF NEUROENGINEERING AND REHABILITATION,JOURNAL OF BIOMECHANICS,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,JOURNAL OF NEUROSURGERY-SPINE,MEASUREMENT,JOURNAL OF BIOMECHANICS,2016 19TH INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION),2016 3RD IEEE EMBS INTERNATIONAL CONFERENCE ON BIOMEDICAL AND HEALTH INFORMATICS,ERGONOMICS,2016 2ND IEEE INTERNATIONAL SYMPOSIUM ON ROBOTICS AND MANUFACTURING AUTOMATION (ROMA),APPLIED BIONICS AND BIOMECHANICS,JOURNAL OF BIOMECHANICS,SENSORS,SENSORS,MEDICAL ENGINEERING & PHYSICS,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,MULTIBODY SYSTEM DYNAMICS,PHYSIOLOGICAL MEASUREMENT,JOURNAL OF BIOMECHANICS,2015 IEEE 12TH INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS (BSN),JOURNAL OF NEUROENGINEERING AND REHABILITATION,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEASUREMENT,JOURNAL OF BIOMECHANICS,PHYSIOLOGICAL MEASUREMENT,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,PHYSIOLOGICAL MEASUREMENT,2014 36TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),2014 IEEE 34TH INTERNATIONAL CONFERENCE ON ELECTRONICS AND NANOTECHNOLOGY (ELNANO),COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,BIOMED RESEARCH INTERNATIONAL,CLINICAL BIOMECHANICS,2014 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),2014 IEEE SENSORS,MEASUREMENT,SENSORS,PLOS ONE,JOURNAL OF BIOMECHANICS,IEEE SENSORS JOURNAL,SENSORS,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,NEURAL REGENERATION RESEARCH,GAIT & POSTURE,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,JOURNAL OF BIOMECHANICS,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,ERGONOMICS,2013 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS (AIM): MECHATRONICS FOR HUMAN WELLBEING,2013 PAN AMERICAN HEALTH CARE EXCHANGES (PAHCE),2013 35TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEASUREMENT,HUMAN MOVEMENT SCIENCE,GAIT & POSTURE,ADVANCED MATERIALS DESIGN AND MECHANICS,2012 4TH IEEE RAS & EMBS INTERNATIONAL CONFERENCE ON BIOMEDICAL ROBOTICS AND BIOMECHATRONICS (BIOROB),MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,GAIT & POSTURE,2011 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),2011 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),2011 10TH IEEE INTERNATIONAL SYMPOSIUM ON MIXED AND AUGMENTED REALITY (ISMAR),2011 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION (ICRA),2011 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC),WORLD CONGRESS ON ENGINEERING, WCE 2011, VOL III,JOURNAL OF APPLIED BIOMECHANICS,BMC MUSCULOSKELETAL DISORDERS,JOURNAL OF BIOMECHANICS,2010 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC),ERGONOMICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,SPORTS BIOMECHANICS,GAIT & POSTURE,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL BIOMECHANICS,JOURNAL OF NEUROENGINEERING AND REHABILITATION,JOURNAL OF SPORTS SCIENCES,MODELLING IN MEDICINE AND BIOLOGY VIII
307889092	Hajizadeh 2019	
307890463	Akbari-Shandiz 2019	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF MAGNETIC RESONANCE IMAGING,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,MEDICAL IMAGE ANALYSIS,JOURNAL OF ORTHOPAEDIC RESEARCH,PLOS ONE,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY
307890532	Richardson 2017	MEDICAL ENGINEERING & PHYSICS
307890574	Herisson 2017	PM&R,ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,CLINICAL BIOMECHANICS,INTERNATIONAL JOURNAL OF THERAPY AND REHABILITATION,CLINICAL BIOMECHANICS
307890663	Cereatti 2015	JOURNAL OF BIOMECHANICS,2019 IEEE 23RD INTERNATIONAL SYMPOSIUM ON CONSUMER TECHNOLOGIES (ISCT),JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF BIOMECHANICS,BIOMEDICAL ENGINEERING ONLINE,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS
