Source	Target	Type	Id	Label	timeset	Weight
ABHANDLUNGEN AUS DEM MATHEMATISCHEN 	Michiels 1995	Directed	0			1
ACTA NEUROLOGICA SCANDINAVICA	Roren 2013	Directed	1			1
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA	Herisson 2017	Directed	2			1
ACTA ORTHOPAEDICA	Massimini 2011	Directed	3			2
ACTA ORTHOPAEDICA	Zhu 2012	Directed	4			2
ACTA ORTHOPAEDICA SCANDINAVICA	Ludewig 2000	Directed	5			2
ACTA ORTHOPAEDICA SCANDINAVICA	Massimini 2011	Directed	6			1
ACTA ORTHOPAEDICA SCANDINAVICA	Mozingo 2018	Directed	7			1
ACTA ORTHOPAEDICA SCANDINAVICA	Warner 2015	Directed	8			1
ADVANCES IN ROBOT KINEMATICS	Hajizadeh 2019	Directed	9			1
Akbari-Shandiz 2019	CLINICAL BIOMECHANICS	Directed	10			1
Akbari-Shandiz 2019	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY	Directed	11			1
Akbari-Shandiz 2019	JOURNAL OF MAGNETIC RESONANCE IMAGING	Directed	12			1
Akbari-Shandiz 2019	JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY	Directed	13			1
Akbari-Shandiz 2019	JOURNAL OF ORTHOPAEDIC RESEARCH	Directed	14			1
Akbari-Shandiz 2019	JOURNAL OF VISUALIZED EXPERIMENTS	Directed	15			2
Akbari-Shandiz 2019	MEDICAL IMAGE ANALYSIS	Directed	16			1
Akbari-Shandiz 2019	PHYSICAL THERAPY	Directed	17			1
Akbari-Shandiz 2019	PLOS ONE	Directed	18			1
Alexander 2018	CLINICAL ORTHOPAEDICS AND RELATED RESEARCH	Directed	19			1
Alexander 2018	JOURNAL OF BIOMECHANICS	Directed	20			1
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	Cutti 2014	Directed	21			1
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	Hajizadeh 2019	Directed	22			1
AMERICAN JOURNAL OF MENTAL DEFICIENCY	Gonçalves 2019	Directed	23			1
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	Mahon 2017	Directed	24			1
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY	Lin 2005’	Directed	25			1
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY	Lin 2005’’	Directed	26			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Crosbie 2008	Directed	27			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Cutti 2008	Directed	28			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Cutti 2014	Directed	29			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	de Baets 2013	Directed	30			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Haik 2014	Directed	31			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Lang 2019	Directed	32			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Lin 2005’	Directed	33			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Ludewig 2000	Directed	34			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Michiels 1995	Directed	35			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Prinold 2011	Directed	36			1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	Roren 2015	Directed	37			1
AMERICAN JOURNAL OF ROENTGENOLOGY	Ludewig 2000	Directed	38			1
AMERICAN JOURNAL OF ROENTGENOLOGY	Roren 2015	Directed	39			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Akbari-Shandiz 2019	Directed	40			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Bey 2006	Directed	41			7
AMERICAN JOURNAL OF SPORTS MEDICINE	Cereatti 2015	Directed	42			3
AMERICAN JOURNAL OF SPORTS MEDICINE	Chu 2012	Directed	43			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Crosbie 2008	Directed	44			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Fayad 2006	Directed	45			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Finley 2003	Directed	46			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Haik 2014	Directed	47			3
AMERICAN JOURNAL OF SPORTS MEDICINE	Lin 2005’	Directed	48			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Lin 2005’’	Directed	49			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Lovern 2009	Directed	50			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Ludewig 2000	Directed	51			4
AMERICAN JOURNAL OF SPORTS MEDICINE	Massimini 2011	Directed	52			4
AMERICAN JOURNAL OF SPORTS MEDICINE	Meyer 2008	Directed	53			4
AMERICAN JOURNAL OF SPORTS MEDICINE	Michener 2016	Directed	54			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Michiels 1995	Directed	55			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Myers 2006	Directed	56			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Prinold 2013	Directed	57			2
AMERICAN JOURNAL OF SPORTS MEDICINE	Rogowski 2014	Directed	58			3
AMERICAN JOURNAL OF SPORTS MEDICINE	Roren 2015	Directed	59			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Teece 2008	Directed	60			3
AMERICAN JOURNAL OF SPORTS MEDICINE	Yildiz 2020	Directed	61			1
AMERICAN JOURNAL OF SPORTS MEDICINE	Zhu 2012	Directed	62			5
