Source,Target,Type,Id,Label,timeset,Weight
Ludewig 2000,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE,Directed,1,,,7
Ludewig 2000,HAND CLINICS,Directed,2,,,1
Ludewig 2000,ACTA MEDICA OKAYAMA,Directed,3,,,1
Ludewig 2000,MEDICINE & SCIENCE IN SPORTS & EXERCISE,Directed,4,,,1
Ludewig 2000,FRONTIERS IN SPORTS AND ACTIVE LIVING,Directed,5,,,1
Ludewig 2000,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,Directed,6,,,1
Ludewig 2000,JOURNAL OF SPORTS SCIENCE AND MEDICINE,Directed,7,,,1
Ludewig 2000,JOURNAL OF REHABILITATION MEDICINE,Directed,8,,,1
Ludewig 2000,OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,Directed,9,,,1
Ludewig 2000,MILITARY MEDICINE,Directed,10,,,2
Ludewig 2000,PM&R,Directed,11,,,6
Ludewig 2000,CLINICAL JOURNAL OF PAIN,Directed,12,,,1
Ludewig 2000,INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,Directed,13,,,3
Ludewig 2000,MUSCULOSKELETAL SCIENCE AND PRACTICE,Directed,14,,,8
Ludewig 2000,JOURNAL OF SPORT REHABILITATION,Directed,15,,,30
Ludewig 2000,SPORTS MEDICINE AND ARTHROSCOPY REVIEW,Directed,16,,,8
Ludewig 2000,DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,Directed,17,,,1
Ludewig 2000,EUROPEAN JOURNAL OF TRANSLATIONAL MYOLOGY,Directed,18,,,1
Ludewig 2000,2017 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND BIOMIMETICS (IEEE ROBIO 2017),Directed,19,,,1
Ludewig 2000,OCCUPATIONAL MEDICINE-OXFORD,Directed,20,,,1
Ludewig 2000,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,Directed,21,,,2
Ludewig 2000,ORVOSI HETILAP,Directed,22,,,1
Ludewig 2000,PHYSIOLOGICAL MEASUREMENT,Directed,23,,,1
Ludewig 2000,JOURNAL OF SHOULDER AND ELBOW SURGERY,Directed,24,,,57
Ludewig 2000,CONFERENCE ON ELECTRONICS,Directed,25,,,1
Ludewig 2000,CLINICAL RHEUMATOLOGY,Directed,26,,,3
Ludewig 2000,ANAESTHESIA PAIN & INTENSIVE CARE,Directed,27,,,1
Ludewig 2000,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,Directed,28,,,1
Ludewig 2000,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Directed,29,,,4
Ludewig 2000,JOURNAL OF PHYSICAL THERAPY SCIENCE,Directed,30,,,22
Ludewig 2000,TRIALS,Directed,31,,,2
Ludewig 2000,BRAZILIAN JOURNAL OF PHYSICAL THERAPY,Directed,32,,,11
Ludewig 2000,MEDICAL PROBLEMS OF PERFORMING ARTISTS,Directed,33,,,1
