Source,Target,Type,Id,Label,timeset,Weight
Finley 2003,IEEE SENSORS JOURNAL,Directed,1,,,1
Cutti 2008,NEURAL REGENERATION RESEARCH,Directed,2,,,1
Thigpen 2005,AMERICAN JOURNAL OF SPORTS MEDICINE,Directed,3,,,1
Cutti 2008,PHYSIOLOGICAL MEASUREMENT,Directed,4,,,3
Crosbie 2008,WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,Directed,5,,,1
Crosbie 2008,NEUROREHABILITATION AND NEURAL REPAIR,Directed,6,,,1
Teece 2008,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY,Directed,7,,,1
Chu 2012,MEDICAL ENGINEERING & PHYSICS,Directed,8,,,1
Mozingo 2018,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,Directed,9,,,1
Michener 2016,JOURNAL OF BIOMECHANICS,Directed,10,,,1
Illyés 2006,BMC MUSCULOSKELETAL DISORDERS,Directed,11,,,1
Bourne 2009,JOURNAL OF BIOMECHANICS,Directed,12,,,6
Teece 2008,ORTHOPEDICS,Directed,13,,,1
Karduna 2001,JOURNAL OF MECHANICS IN MEDICINE AND BIOLOGY,Directed,14,,,1
Nicholson 2019,MEDICAL ENGINEERING & PHYSICS,Directed,15,,,1
Haik 2014,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Directed,16,,,2
Meskers 2007,MANUAL THERAPY,Directed,17,,,3
Finley 2003,INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS,Directed,18,,,1
Karduna 2001,ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,Directed,19,,,2
Haik 2014,DIAGNOSTICS,Directed,20,,,3
Fayad 2006,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,Directed,21,,,1
Cutti 2008,2013 IEEE/ASME INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS (AIM): MECHATRONICS FOR HUMAN WELLBEING,Directed,22,,,1
Prinold 2011,JOURNAL OF SCIENCE AND MEDICINE IN SPORT,Directed,23,,,1
Illyés 2006,PERIODICA POLYTECHNICA-CIVIL ENGINEERING,Directed,24,,,1
Shaheen 2011’’,GAIT & POSTURE,Directed,25,,,2
Teece 2008,CLINICAL ANATOMY,Directed,26,,,1
Chu 2012,JOURNAL OF BIOMECHANICS,Directed,27,,,3
Parel 2012,SOUTH AFRICAN JOURNAL OF PHYSIOTHERAPY,Directed,28,,,1
Parel 2012,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,Directed,29,,,1
Jaspers 2011’,RESEARCH IN DEVELOPMENTAL DISABILITIES,Directed,30,,,1
Karduna 2001,CAHIERS DE PSYCHOLOGIE COGNITIVE-CURRENT PSYCHOLOGY OF COGNITION,Directed,31,,,1
Roren 2015,INTERNATIONAL JOURNAL OF LEGAL MEDICINE,Directed,32,,,1
Prinold 2011,MEDICAL ENGINEERING & PHYSICS,Directed,33,,,1
Bey 2006,JOURNAL OF WRIST SURGERY,Directed,34,,,1
