Source,Target,Type,Id,Label,timeset,Weight
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Ludewig 2000,Directed,1,,,6
AMERICAN JOURNAL OF SPORTS MEDICINE,Ludewig 2000,Directed,2,,,4
CLINICAL BIOMECHANICS,Ludewig 2000,Directed,3,,,3
JOURNAL OF BONE AND JOINT SURGERY-BRITISH VOLUME,Ludewig 2000,Directed,4,,,2
ARTHROSCOPY,Ludewig 2000,Directed,5,,,1
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY AND OCCUPATIONAL PHYSIOLOGY,Ludewig 2000,Directed,6,,,2
JOURNAL OF ORTHOPAEDIC RESEARCH,Ludewig 2000,Directed,7,,,2
ORTHOPEDICS,Ludewig 2000,Directed,8,,,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Ludewig 2000,Directed,9,,,4
ORTHOPEDIC CLINICS OF NORTH AMERICA,Ludewig 2000,Directed,10,,,1
SCANDINAVIAN JOURNAL OF REHABILITATION MEDICINE,Ludewig 2000,Directed,11,,,1
AMERICAN JOURNAL OF ROENTGENOLOGY,Ludewig 2000,Directed,12,,,1
JOURNAL OF BIOMECHANICS,Ludewig 2000,Directed,13,,,3
ACTA ORTHOPAEDICA SCANDINAVICA,Ludewig 2000,Directed,14,,,2
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Ludewig 2000,Directed,15,,,1
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Ludewig 2000,Directed,16,,,1
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,Ludewig 2000,Directed,17,,,2
PHYSICAL THERAPY,Ludewig 2000,Directed,18,,,2
BRITISH JOURNAL OF INDUSTRIAL MEDICINE,Ludewig 2000,Directed,19,,,2
CLINICS IN SPORTS MEDICINE,Ludewig 2000,Directed,20,,,2
ERGONOMICS,Ludewig 2000,Directed,21,,,1
