Source,Target,Type,Id,Label,timeset,Weight
IEEE NUCLEAR SCIENCE SYMPOSIUM,Akbari-Shandiz 2019,Directed,483,,,1
ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY,van den Noort 2014,Directed,308,,,1
INTERNATIONAL CONFERENCE ON CIVIL AND ENVIRONMENTAL ENGINEERING FOR SUSTAINABILITY,Kolz 2020,Directed,283,,,1
ABHANDLUNGEN AUS DEM MATHEMATISCHEN,Michiels 1995,Directed,119,,,1
ACTA NEUROLOGICA SCANDINAVICA,Roren 2013,Directed,223,,,1
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,Herisson 2017,Directed,510,,,1
ACTA ORTHOPAEDICA,Massimini 2011,Directed,168,,,2
ACTA ORTHOPAEDICA,Zhu 2012,Directed,238,,,2
ACTA ORTHOPAEDICA SCANDINAVICA,Ludewig 2000,Directed,14,,,2
ACTA ORTHOPAEDICA SCANDINAVICA,Massimini 2011,Directed,23,,,1
ACTA ORTHOPAEDICA SCANDINAVICA,Mozingo 2018,Directed,591,,,1
ACTA ORTHOPAEDICA SCANDINAVICA,Warner 2015,Directed,82,,,1
ADVANCES IN ROBOT KINEMATICS,Hajizadeh 2019,Directed,658,,,1
Akbari-Shandiz 2019,CLINICAL BIOMECHANICS,Directed,1005,,,1
Akbari-Shandiz 2019,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Directed,846,,,1
Akbari-Shandiz 2019,JOURNAL OF MAGNETIC RESONANCE IMAGING,Directed,152,,,1
Akbari-Shandiz 2019,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Directed,300,,,1
Akbari-Shandiz 2019,JOURNAL OF ORTHOPAEDIC RESEARCH,Directed,734,,,1
Akbari-Shandiz 2019,JOURNAL OF VISUALIZED EXPERIMENTS,Directed,457,,,2
Akbari-Shandiz 2019,MEDICAL IMAGE ANALYSIS,Directed,252,,,1
Akbari-Shandiz 2019,PHYSICAL THERAPY,Directed,253,,,1
Akbari-Shandiz 2019,PLOS ONE,Directed,344,,,1
Alexander 2018,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,Directed,966,,,1
Alexander 2018,JOURNAL OF BIOMECHANICS,Directed,72,,,1
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,Cutti 2014,Directed,10,,,1
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,Hajizadeh 2019,Directed,440,,,1
AMERICAN JOURNAL OF MENTAL DEFICIENCY,Gonçalves 2019,Directed,799,,,1
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,Mahon 2017,Directed,366,,,1
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,Lin 2005’,Directed,63,,,1
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,Lin 2005’’,Directed,688,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Crosbie 2008,Directed,155,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Cutti 2008,Directed,225,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Cutti 2014,Directed,443,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,de Baets 2013,Directed,678,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Haik 2014,Directed,216,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Lang 2019,Directed,600,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Lin 2005’,Directed,468,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Ludewig 2000,Directed,15,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Prinold 2011,Directed,607,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Roren 2015,Directed,167,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Michiels 1995,Directed,383,,,1
