Id,Label,timeset,Type,modularity_class,stat_inf_class
ABHANDLUNGEN AUS DEM MATHEMATISCHEN,ABHANDLUNGEN AUS DEM MATHEMATISCHEN,,RefCit,0,0
Michiels 1995,Michiels 1995,,Fonte,0,0
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROLOGICA SCANDINAVICA,,RefCit,0,0
Roren 2013,Roren 2013,,Fonte,0,0
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,,RefCit,1,0
Herisson 2017,Herisson 2017,,Fonte,1,0
ACTA ORTHOPAEDICA,ACTA ORTHOPAEDICA,,RefCit,1,0
Massimini 2011,Massimini 2011,,Fonte,1,0
Zhu 2012,Zhu 2012,,Fonte,1,0
ACTA ORTHOPAEDICA SCANDINAVICA,ACTA ORTHOPAEDICA SCANDINAVICA,,RefCit,2,0
Ludewig 2000,Ludewig 2000,,Fonte,2,0
Mozingo 2018,Mozingo 2018,,Fonte,1,0
Warner 2015,Warner 2015,,Fonte,2,0
ADVANCES IN ROBOT KINEMATICS,ADVANCES IN ROBOT KINEMATICS,,RefCit,1,0
Hajizadeh 2019,Hajizadeh 2019,,Fonte,1,0
Akbari-Shandiz 2019,Akbari-Shandiz 2019,,Fonte,1,0
CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,,RefCit,0,0
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,,RefCit,2,0
JOURNAL OF MAGNETIC RESONANCE IMAGING,JOURNAL OF MAGNETIC RESONANCE IMAGING,,RefCit,1,0
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,,RefCit,0,0
JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF ORTHOPAEDIC RESEARCH,,RefCit,0,0
JOURNAL OF VISUALIZED EXPERIMENTS,JOURNAL OF VISUALIZED EXPERIMENTS,,RefCit,1,0
MEDICAL IMAGE ANALYSIS,MEDICAL IMAGE ANALYSIS,,RefCit,1,0
PHYSICAL THERAPY,PHYSICAL THERAPY,,RefCit,0,0
PLOS ONE,PLOS ONE,,RefCit,1,0
Alexander 2018,Alexander 2018,,Fonte,1,0
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,,RefCit,0,0
JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,,RefCit,1,0
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,,RefCit,1,0
Cutti 2014,Cutti 2014,,Fonte,1,0
AMERICAN JOURNAL OF MENTAL DEFICIENCY,AMERICAN JOURNAL OF MENTAL DEFICIENCY,,RefCit,1,0
Gonçalves 2019,Gonçalves 2019,,Fonte,1,0
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,,RefCit,1,0
Mahon 2017,Mahon 2017,,Fonte,1,0
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,,RefCit,2,0
Lin 2005’,Lin 2005’,,Fonte,2,0
Lin 2005’’,Lin 2005’’,,Fonte,2,0
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,,RefCit,2,0
Crosbie 2008,Crosbie 2008,,Fonte,4,0
