Source,Target,Type,Id,Label,timeset,Weight
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Alexander 2018,Directed,1,,,1
ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH,Herisson 2017,Directed,2,,,1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Shaheen 2011’,Directed,3,,,1
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Gonçalves 2019,Directed,4,,,1
PHYSICAL THERAPY,Ruiz Ibán 2020,Directed,5,,,2
JOURNAL OF ORTHOPAEDIC RESEARCH,Roren 2013,Directed,6,,,1
CLINICAL BIOMECHANICS,Plummer 2018,Directed,7,,,2
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Warner 2015,Directed,8,,,1
STROKE,de Baets 2013,Directed,9,,,3
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,Cutti 2014,Directed,10,,,1
QUALITY OF LIFE RESEARCH,Yildiz 2020,Directed,11,,,1
ORTHOPEDIC CLINICS OF NORTH AMERICA,Meyer 2008,Directed,12,,,1
JOURNAL OF HAND SURGERY-EUROPEAN VOLUME,Mahon 2017,Directed,13,,,2
JOURNAL OF BIOMECHANICS,Michener 2016,Directed,14,,,2
JOURNAL OF BIOMECHANICS,Bourne 2009,Directed,15,,,9
JOURNAL OF BIOMECHANICS,Herisson 2017,Directed,16,,,2
PHYSICAL THERAPY,Prinold 2013,Directed,17,,,1
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,Hajizadeh 2019,Directed,18,,,1
BEHAVIOR RESEARCH METHODS INSTRUMENTS & COMPUTERS,Myers 2006,Directed,19,,,1
MEDICAL ENGINEERING & PHYSICS,Nicholson 2019,Directed,20,,,2
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Haik 2014,Directed,21,,,1
OSTEOARTHRITIS AND CARTILAGE,Zhu 2012,Directed,22,,,1
ACTA ORTHOPAEDICA SCANDINAVICA,Massimini 2011,Directed,23,,,1
ANNALS OF BIOMEDICAL ENGINEERING,Nicholson 2019,Directed,24,,,1
PLOS ONE,Richardson 2017,Directed,25,,,1
MEDICAL CARE,Alexander 2018,Directed,26,,,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Mahon 2017,Directed,27,,,4
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Myers 2006,Directed,28,,,1
GAIT & POSTURE,Shaheen 2011’’,Directed,29,,,1
JOURNAL OF BIOMECHANICS,Chu 2012,Directed,30,,,2
GAIT & POSTURE,Warner 2015,Directed,31,,,2
JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,Prinold 2013,Directed,32,,,2
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,van den Noort 2014,Directed,33,,,1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Cereatti 2015,Directed,34,,,1
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Rogowski 2014,Directed,35,,,1
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,de Baets 2020,Directed,36,,,1
GAIT & POSTURE,Shaheen 2011’,Directed,37,,,1
AMERICAN JOURNAL OF SPORTS MEDICINE,Haik 2014,Directed,38,,,3
JOURNAL OF SHOULDER AND ELBOW SURGERY,van den Noort 2014,Directed,39,,,1
JOURNAL OF BIOMECHANICS,Yildiz 2020,Directed,40,,,4
JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,Warner 2015,Directed,41,,,1
MAGNETIC RESONANCE IN MEDICINE,Akbari-Shandiz 2019,Directed,42,,,1
JOURNAL OF SHOULDER AND ELBOW SURGERY,Bourne 2007,Directed,43,,,1
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Bourne 2007,Directed,44,,,2
BMC MUSCULOSKELETAL DISORDERS,Hansen 2019,Directed,45,,,1
MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,Myers 2006,Directed,46,,,2
PHYSICAL THERAPY,Nicholson 2017,Directed,47,,,1
AMERICAN JOURNAL OF SPORTS MEDICINE,Roren 2015,Directed,48,,,1
JOURNAL OF APPLIED BIOMECHANICS,Roren 2015,Directed,49,,,2
HUMAN MOVEMENT SCIENCE,Bourne 2009,Directed,50,,,2
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,Höglund 2021,Directed,51,,,2
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,Hansen 2019,Directed,52,,,3
GAIT & POSTURE,Vanezis 2015,Directed,53,,,9
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Nicholson 2019,Directed,54,,,2
JOURNAL OF APPLIED BIOMECHANICS,Nicholson 2017,Directed,55,,,2
CLINICAL BIOMECHANICS,Meskers 2007,Directed,56,,,3
AMERICAN JOURNAL OF SPORTS MEDICINE,Massimini 2011,Directed,57,,,4
JOURNAL OF APPLIED BIOMECHANICS,Meyer 2008,Directed,58,,,6
CLINICAL BIOMECHANICS,Cutti 2008,Directed,59,,,2
JOURNAL OF BIOMECHANICS,Alexander 2018,Directed,60,,,7
AMERICAN JOURNAL OF SPORTS MEDICINE,Lin 2005’’,Directed,61,,,1
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Warner 2015,Directed,62,,,1
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,Lin 2005’,Directed,63,,,1
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Finley 2003,Directed,64,,,2
BIOMEDIZINISCHE TECHNIK,Michiels 1995,Directed,65,,,1
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Parel 2014,Directed,66,,,1
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Roren 2015,Directed,67,,,2
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,Shaheen 2011’,Directed,68,,,1
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Alexander 2018,Directed,69,,,1
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,Warner 2015,Directed,70,,,1
JOURNAL OF MEDICAL ENGINEERING & TECHNOLOGY,Illyés 2006,Directed,71,,,1
CLINICAL BIOMECHANICS,Parel 2012,Directed,72,,,4
JOURNAL OF NEUROSCIENCE,Prinold 2013,Directed,73,,,1
PLOS ONE,Kolz 2020,Directed,74,,,1
JOURNAL OF APPLIED BIOMECHANICS,Thigpen 2005,Directed,75,,,1
CLINICAL BIOMECHANICS,Jaspers 2011’’,Directed,76,,,2
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Lin 2005’,Directed,77,,,3
BRITISH MEDICAL JOURNAL,Lin 2005’,Directed,78,,,1
AMERICAN JOURNAL OF SPORTS MEDICINE,Chu 2012,Directed,79,,,2
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Richardson 2017,Directed,80,,,1
JOURNAL OF APPLIED BIOMECHANICS,Prinold 2011,Directed,81,,,1
ACTA ORTHOPAEDICA SCANDINAVICA,Warner 2015,Directed,82,,,1
ANNALS OF BIOMEDICAL ENGINEERING,Gonçalves 2019,Directed,83,,,1
JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,Gonçalves 2019,Directed,84,,,1
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,Rogowski 2014,Directed,85,,,1
AMERICAN JOURNAL OF SPORTS MEDICINE,Bey 2006,Directed,86,,,7
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Roren 2013,Directed,87,,,2
JOURNAL OF ORTHOPAEDIC RESEARCH,Vanezis 2015,Directed,88,,,1
PHYSICAL THERAPY,Bourne 2011,Directed,89,,,1
JOURNAL OF BIOMECHANICS,Myers 2006,Directed,90,,,3
MULTIBODY SYSTEM DYNAMICS,Hajizadeh 2019,Directed,91,,,1
BRITISH JOURNAL OF SPORTS MEDICINE,Prinold 2013,Directed,92,,,1
ANNALS OF THE RHEUMATIC DISEASES,Roren 2013,Directed,93,,,1
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Cutti 2008,Directed,94,,,1
GAIT & POSTURE,Ruiz Ibán 2020,Directed,95,,,3
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,Lin 2005’’,Directed,96,,,1
EQUINE VETERINARY JOURNAL,Karduna 2001,Directed,97,,,1
JOURNAL OF CLINICAL ONCOLOGY,Lang 2019,Directed,98,,,1
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,Roren 2013,Directed,99,,,2
JOURNAL OF BIOMECHANICS,Finley 2003,Directed,100,,,2
JOURNAL OF PEDIATRIC ORTHOPAEDICS,Herisson 2017,Directed,101,,,1
JOURNAL OF SPORT REHABILITATION,Rogowski 2014,Directed,102,,,1
JOURNAL OF MAGNETIC RESONANCE IMAGING,Akbari-Shandiz 2019,Directed,103,,,1
MANUAL THERAPY,Höglund 2021,Directed,104,,,1
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,Teece 2008,Directed,105,,,4
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,Wolf 2019,Directed,106,,,1
GAIT & POSTURE,Wolf 2019,Directed,107,,,3
JOURNAL OF ATHLETIC TRAINING,Michener 2016,Directed,108,,,1
COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,Rogowski 2014,Directed,109,,,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,van den Noort 2014,Directed,110,,,1
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,Mozingo 2018,Directed,111,,,1
J BONE JOINT SURG,Hajizadeh 2019,Directed,112,,,1
JOURNAL OF EXPERIMENTAL BIOLOGY,Akbari-Shandiz 2019,Directed,113,,,1
BONE & JOINT JOURNAL,Kolz 2020,Directed,114,,,1
JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,Herisson 2017,Directed,115,,,2
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Parel 2012,Directed,116,,,1
JOURNAL OF BIOMECHANICS,Fayad 2006,Directed,117,,,2
JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,Karduna 2001,Directed,118,,,2
ABH. MATH-PHYS. CL. D. K. SÄCHS GESELLSCH. D. WISS.,Michiels 1995,Directed,119,,,1
BRITISH JOURNAL OF SPORTS MEDICINE,Ruiz Ibán 2020,Directed,120,,,1
CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE,Höglund 2021,Directed,121,,,1
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,Nicholson 2017,Directed,122,,,1
JOURNAL OF BIOMECHANICS,Meyer 2008,Directed,123,,,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Herisson 2017,Directed,124,,,2
JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY,Wolf 2019,Directed,125,,,1
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,Vanezis 2015,Directed,126,,,2
SPINE,Zhu 2012,Directed,127,,,1
ORTHOPEDICS,Nicholson 2017,Directed,128,,,1
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY,Höglund 2021,Directed,129,,,1
JOURNAL OF ORTHOPAEDIC RESEARCH,Ruiz Ibán 2020,Directed,130,,,1
QUALITY OF LIFE RESEARCH,Haik 2014,Directed,131,,,1
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,Ruiz Ibán 2020,Directed,132,,,1
CLINICAL BIOMECHANICS,Prinold 2013,Directed,133,,,12
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,Karduna 2001,Directed,134,,,1
BRITISH JOURNAL OF SPORTS MEDICINE,Rogowski 2014,Directed,135,,,1
JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,Vanezis 2015,Directed,136,,,1
CLINICAL BIOMECHANICS,Cutti 2014,Directed,137,,,6
JOURNAL OF ORTHOPAEDIC RESEARCH,de Baets 2013,Directed,138,,,1
JOURNAL OF SHOULDER AND ELBOW SURGERY,Alexander 2018,Directed,139,,,3
JOURNAL OF BIOMECHANICS,Roren 2015,Directed,140,,,8
JOURNAL OF SHOULDER AND ELBOW SURGERY,Parel 2014,Directed,141,,,3
ANNALS OF THE RHEUMATIC DISEASES,Parel 2014,Directed,142,,,1
JOURNAL OF BIOMECHANICS,Wolf 2019,Directed,143,,,3
CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,Crosbie 2008,Directed,144,,,1
SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,Rogowski 2014,Directed,145,,,1
INTERNATIONAL ORTHOPAEDICS,Mahon 2017,Directed,146,,,1
ANNALS OF THE RHEUMATIC DISEASES,Fayad 2006,Directed,147,,,2
EXPERIMENTAL BRAIN RESEARCH,Roren 2015,Directed,148,,,1
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,de Baets 2013,Directed,149,,,1
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Rogowski 2014,Directed,150,,,1
JOURNAL OF SHOULDER AND ELBOW SURGERY,Plummer 2018,Directed,151,,,1
SPORTS MEDICINE,Meyer 2008,Directed,152,,,1
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,Lang 2019,Directed,153,,,1
CLINICAL REHABILITATION,Herisson 2017,Directed,154,,,1
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,Crosbie 2008,Directed,155,,,1
JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,Gonçalves 2019,Directed,156,,,1
